_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置)
CBDL,CBDL,1003321308,中国U17,0.491228,0.377193,0.604651,0.192982,0.340909,0.429825,0.306122,0.459184,0.336735,0.590909,0.244898,0.375,0.418367,0.268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,33546,姚盛彬,,,16,,PG,,,控球后卫,1,7822,,,59.52,39.29,51.19,35.71,54.76,67.86,65.48,51.19,79.76,58.33,29.76,39.29,34.52,50,false
CBDL,CBDL,1003321308,中国U17,0.491228,0.377193,0.604651,0.192982,0.340909,0.429825,0.306122,0.459184,0.336735,0.590909,0.244898,0.375,0.418367,0.268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,33546,姚盛彬,,,16,,总和,,,,130.4,7822,,,59.52,39.29,51.19,35.71,54.76,67.86,65.48,51.19,79.76,58.33,29.76,39.29,34.52,50,true
CBDL,CBDL,1003321308,中国U17,0.609756,0.398374,0.653061,0.227642,0.464286,0.373984,0.434783,0.470297,0.405941,0.439024,0.29703,0.433333,1,0.108911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34491,石洺豪,,,16,,总和,,,,67.5,4048,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.614943,0.402299,0.628571,0.218391,0.473684,0.37931,0.454545,0.417808,0.383562,0.392857,0.315068,0.391304,0.30137,0.318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34491,石洺豪,,,16,,PG,,,控球后卫,0.71,2873,,,95.24,53.57,58.33,50,86.9,50,94.05,72.62,57.14,95.24,9.52,33.33,80.95,32.14,false
CBDL,CBDL,1003321308,中国U17,0.597222,0.388889,0.714286,0.25,0.444444,0.361111,0.384615,0.607143,0.464286,0.538462,0.25,0.571429,0.285714,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34491,石洺豪,,,16,,SG,,,得分后卫,0.29,1175,,,94.05,47.62,84.52,70.24,80.95,44.05,82.14,5.95,17.86,70.24,29.76,7.14,86.9,2.38,false
CBDL,CBDL,1003321308,中国U17,0.5375,0.416667,0.65,0.183333,0.363636,0.4,0.333333,0.463801,0.429864,0.452632,0.257919,0.333333,1,0.122172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,总和,,,,134,8041,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.551852,0.437037,0.627119,0.162963,0.409091,0.4,0.351852,0.423729,0.372881,0.409091,0.271186,0.34375,0.355932,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,SG,,,得分后卫,0.55,4426,,,76.19,73.81,58.33,21.43,70.24,60.71,75,69.05,63.1,95.24,20.24,45.24,59.52,29.76,false
CBDL,CBDL,1003321308,中国U17,0.519048,0.390476,0.682927,0.209524,0.318182,0.4,0.309524,0.509709,0.495146,0.490196,0.242718,0.32,0.262136,0.481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,PG,,,控球后卫,0.45,3615,,,64.29,47.62,79.76,42.86,48.81,60.71,65.48,36.9,9.52,83.33,32.14,51.19,94.05,2.38,false
CBDL,CBDL,1003321308,中国U17,0.427928,0.351351,0.487179,0.207207,0.26087,0.441441,0.306122,0.57767,0.427184,0.704545,0.213592,0.409091,0.359223,0.351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82404,杨子默,,,15,,SG,,,得分后卫,1,3880,,,30.95,23.81,16.67,40.48,27.38,72.62,65.48,11.9,29.76,15.48,54.76,29.76,58.33,25,false
CBDL,CBDL,1003321308,中国U17,0.427928,0.351351,0.487179,0.207207,0.26087,0.441441,0.306122,0.57767,0.427184,0.704545,0.213592,0.409091,0.359223,0.351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82404,杨子默,,,15,,总和,,,,64.7,3880,,,30.95,23.81,16.67,40.48,27.38,72.62,65.48,11.9,29.76,15.48,54.76,29.76,58.33,25,true
CBDL,CBDL,1003321308,中国U17,0.598214,0.321429,0.722222,0.178571,0.4,0.5,0.392857,0.287037,0.351852,0.315789,0.296296,0.3125,1,0.055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,总和,,,,33.3,1998,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.663043,0.282609,0.769231,0.173913,0.5,0.543478,0.44,0.315217,0.391304,0.333333,0.326087,0.266667,0.282609,0.230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,SG,,,得分后卫,0.827,1653,,,100,5.95,92.86,27.38,86.9,98.81,90.48,100,51.19,98.81,8.33,72.62,88.1,69.05,false
CBDL,CBDL,1003321308,中国U17,0.142857,0.428571,0.333333,0.285714,0,0.285714,0,0.166667,0,0,0.166667,1,0.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,SF,,,小前锋,0.128,255,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.666667,0.666667,1,0,0,0.333333,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,PG,,,控球后卫,0.045,90,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.578947,0.526316,0.7,0.157895,0.333333,0.315789,0.333333,0.678571,0.285714,0.5,0.214286,1,1,0.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34297,李雨泽,,,15,,总和,,,,9.2,549,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.588235,0.470588,0.75,0.176471,0.333333,0.352941,0.333333,0.708333,0.25,0.666667,0.166667,1,0.583333,0.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34297,李雨泽,,,15,,SG,,,得分后卫,0.9,494,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.5,1,0.5,0,0,0,0,0.5,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34297,李雨泽,,,15,,SF,,,小前锋,0.1,55,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.545455,0.448485,0.648649,0.193939,0.375,0.357576,0.338983,0.472603,0.39726,0.534483,0.267123,0.358974,1,0.109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82168,涂瀚之,,,16,,总和,,,,95.4,5726,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.606383,0.468085,0.613636,0.159574,0.4,0.37234,0.457143,0.560241,0.409639,0.588235,0.277108,0.434783,0.313253,0.423077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82168,涂瀚之,,,16,,SF,,,小前锋,0.557,3189,,,94.05,83.33,57.14,19.05,66.67,50,94.05,20.24,41.67,58.33,19.05,21.43,79.76,14.29,false
CBDL,CBDL,1003321308,中国U17,0.464789,0.422535,0.7,0.239437,0.352941,0.338028,0.166667,0.357143,0.380952,0.458333,0.253968,0.25,0.365079,0.217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82168,涂瀚之,,,16,,SG,,,得分后卫,0.443,2537,,,53.57,69.05,80.95,64.29,54.76,29.76,9.52,91.67,58.33,88.1,26.19,76.19,53.57,75,false
CBDL,CBDL,1003321308,中国U17,0.511765,0.364706,0.677419,0.182353,0.387097,0.452941,0.285714,0.485612,0.395683,0.509091,0.244604,0.323529,1,0.136691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,总和,,,,91.5,5488,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.511976,0.371257,0.677419,0.179641,0.4,0.449102,0.28,0.485401,0.40146,0.509091,0.233577,0.3125,0.364964,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,SF,,,小前锋,0.983,5392,,,63.1,35.71,78.57,32.14,66.67,73.81,51.19,42.86,46.43,79.76,41.67,58.33,53.57,17.86,false
CBDL,CBDL,1003321308,中国U17,0.5,0,0,0.333333,0,0.666667,0.5,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,SG,,,得分后卫,0.017,91,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,PF,,,大前锋,0.001,5,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.513889,0.347222,0.72,0.291667,0.333333,0.361111,0.307692,0.293333,0.373333,0.392857,0.32,0.333333,1,0.026667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,总和,,,,45.5,2727,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.492647,0.352941,0.708333,0.279412,0.315789,0.367647,0.28,0.30137,0.383562,0.392857,0.328767,0.333333,0.287671,0.095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,SF,,,小前锋,0.947,2583,,,60.71,23.81,84.52,80.95,46.43,47.62,51.19,100,57.14,95.24,8.33,48.81,85.71,100,false
CBDL,CBDL,1003321308,中国U17,0.875,0.25,1,0.5,0.5,0.25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,SG,,,得分后卫,0.053,144,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.519097,0.427083,0.617886,0.194444,0.375,0.378472,0.321101,0.513834,0.383399,0.505155,0.237154,0.4,1,0.150198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,总和,,,,161,9658,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.519097,0.427083,0.617886,0.194444,0.375,0.378472,0.321101,0.513834,0.383399,0.505155,0.237154,0.4,0.379447,0.395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,PF,,,大前锋,0.999,9653,,,64.29,70.24,57.14,36.9,60.71,50,70.24,35.71,57.14,79.76,36.9,33.33,50,16.67,false
CBDL,CBDL,1003321308,中国U17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,C,,,中锋,0.001,5,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.514706,0.338235,0.608696,0.235294,0.375,0.426471,0.344828,0.484127,0.412698,0.615385,0.190476,0.333333,1,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,总和,,,,40.7,2440,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.514706,0.338235,0.608696,0.235294,0.375,0.426471,0.344828,0.491935,0.419355,0.615385,0.193548,0.333333,0.387097,0.291667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,SF,,,小前锋,0.998,2435,,,64.29,20.24,54.76,59.52,60.71,65.48,73.81,40.48,32.14,42.86,64.29,48.81,46.43,41.67,false
CBDL,CBDL,1003321308,中国U17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,PF,,,大前锋,0.002,5,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.507353,0.352941,0.583333,0.220588,0.466667,0.426471,0.310345,0.366071,0.339286,0.315789,0.303571,0.411765,1,0.089286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,总和,,,,37.2,2229,,,,,,,,,,,,,,,,,true
CBDL,CBDL,1003321308,中国U17,0.5,0.352941,0.666667,0.235294,0.5,0.411765,0.238095,0.340909,0.386364,0.352941,0.318182,0.428571,0.295455,0.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,PF,,,大前锋,0.777,1733,,,60.71,23.81,76.19,59.52,86.9,64.29,32.14,95.24,55.95,96.43,9.52,23.81,83.33,92.86,false
CBDL,CBDL,1003321308,中国U17,0.529412,0.352941,0.333333,0.176471,0.333333,0.470588,0.5,0.5,0.181818,0,0.272727,0.333333,0.545455,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,SF,,,小前锋,0.22,491,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34538,刘玄昱,,,15,,C,,,中锋,0.002,5,,,,,,,,,,,,,,,,,false
CBDL,CBDL,1003321308,中国U17,0.559524,0.27381,0.695652,0.202381,0.235294,0.52381,0.409091,0.368421,0.421053,0.625,0.289474,0.227273,0.289474,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,PF,,,大前锋,1,3004,,,79.76,4.76,80.95,39.29,17.86,95.24,84.52,86.9,32.14,42.86,14.29,83.33,85.71,100,false
CBDL,CBDL,1003321308,中国U17,0.559524,0.27381,0.695652,0.202381,0.235294,0.52381,0.409091,0.368421,0.421053,0.625,0.289474,0.227273,0.289474,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,总和,,,,50.1,3004,,,79.76,4.76,80.95,39.29,17.86,95.24,84.52,86.9,32.14,42.86,14.29,83.33,85.71,100,true
CBDL,CBDL,1003321308,中国U17,0.559211,0.427632,0.615385,0.171053,0.346154,0.401316,0.393443,0.477444,0.466165,0.5,0.24812,0.30303,0.285714,0.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,C,,,中锋,1,4841,,,79.76,70.24,57.14,25,54.76,61.9,83.33,44.05,17.86,83.33,29.76,59.52,86.9,16.67,false
CBDL,CBDL,1003321308,中国U17,0.559211,0.427632,0.615385,0.171053,0.346154,0.401316,0.393443,0.477444,0.466165,0.5,0.24812,0.30303,0.285714,0.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,总和,,,,80.7,4841,,,79.76,70.24,57.14,25,54.76,61.9,83.33,44.05,17.86,83.33,29.76,59.52,86.9,16.67,true
CBDL,CBDL,1003321308,中国U17,0.525,0.2,0.75,0.2,0.375,0.6,0.333333,0.428571,0.309524,0.538462,0.238095,0.2,0.452381,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,C,,,中锋,1,1497,,,66.67,0,89.29,38.1,60.71,98.81,70.24,69.05,89.29,70.24,36.9,89.29,21.43,33.33,false
CBDL,CBDL,1003321308,中国U17,0.525,0.2,0.75,0.2,0.375,0.6,0.333333,0.428571,0.309524,0.538462,0.238095,0.2,0.452381,0.315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34691,姚嘉泽,,,15,,总和,,,,25,1497,,,66.67,0,89.29,38.1,60.71,98.81,70.24,69.05,89.29,70.24,36.9,89.29,21.43,33.33,true
CBDL,CBDL,1003321308,中国U17,0.502165,0.393939,0.637363,0.220779,0.372549,0.385281,0.292135,0.462121,0.358586,0.521127,0.267677,0.433962,0.373737,0.283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,C,,,中锋,1,8052,,,61.9,50,69.05,52.38,59.52,52.38,60.71,50,69.05,76.19,21.43,21.43,50,44.05,false
CBDL,CBDL,1003321308,中国U17,0.502165,0.393939,0.637363,0.220779,0.372549,0.385281,0.292135,0.462121,0.358586,0.521127,0.267677,0.433962,0.373737,0.283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,总和,,,,134.2,8052,,,61.9,50,69.05,52.38,59.52,52.38,60.71,50,69.05,76.19,21.43,21.43,50,44.05,true