_group,_seasonYear,_season,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,number,playerId,playerName,playerNameEn,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,gameStart,teamId,teamName,该打法占比
CBDL,2025,2025-26,,,,Hand-Off,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,9,34297,李雨泽,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,82168,涂瀚之,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Isolation,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,82168,涂瀚之,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,3,1.5,2,0,0,0,0,0,0,1,1,0,1,1.5,0,0,1,0.5,0,0,10,82168,涂瀚之,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,82168,涂瀚之,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0.5,10,82168,涂瀚之,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,82168,涂瀚之,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,82168,涂瀚之,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,82168,涂瀚之,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Hand-Off,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,82168,涂瀚之,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10,82168,涂瀚之,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,82168,涂瀚之,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10,82168,涂瀚之,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.5,10,82168,涂瀚之,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,82168,涂瀚之,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,2,1,2,0,0,0,1,1,0,1,0,1,0,0.5,0,0.5,0.5,0,0,0,10,82168,涂瀚之,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Ball-Handler,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,10,82168,涂瀚之,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,3,1,3,0,0,0,0,0,0,3,1,2,0,0.5,0,0,1,0,0,0,10,82168,涂瀚之,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,82168,涂瀚之,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,9,1.125,8,5,3,2,0,0,0,2,1,1,1,0.642857,0.7143,0,0.2857,0.125,0,0,11,82212,张淳智,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Isolation,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,82212,张淳智,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,9,2.25,4,0,0,0,0,0,0,4,3,1,0,1.125,0,0,1,0,0,0,11,82212,张淳智,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,82212,张淳智,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,82212,张淳智,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,82212,张淳智,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,5,0.7143,7,1,1,0,1,0,1,4,1,3,1,0.416667,0.1667,0.1667,0.6667,0.1429,0,0,11,82212,张淳智,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,82212,张淳智,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,82212,张淳智,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,8,2,4,0,0,0,1,1,0,2,1,1,0,0.833333,0,0.3333,0.6667,0,1,0.25,11,82212,张淳智,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,11,82212,张淳智,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,82212,张淳智,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,0,0,11,82212,张淳智,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,11,82212,张淳智,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Hand-Off,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,82212,张淳智,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,82212,张淳智,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,5,1.6667,3,1,1,0,0,0,0,2,1,1,0,0.833333,0.3333,0,0.6667,0,0,0,12,34995,吕飞燕,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Off-Screen,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,34995,吕飞燕,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,2,1,2,2,1,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,12,34995,吕飞燕,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,12,34995,吕飞燕,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,34995,吕飞燕,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,12,34995,吕飞燕,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Ball-Handler,0,0,4,1,0,1,2,0,2,1,0,1,0,0,0.25,0.5,0.25,0,0,0,12,34995,吕飞燕,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,34995,吕飞燕,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Hand-Off,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,34995,吕飞燕,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,34995,吕飞燕,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,6,1.5,4,0,0,0,1,0,1,3,2,1,0,0.75,0,0.25,0.75,0,0,0,13,36317,张懿赵杰,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Cut,2,0.6667,3,1,0,1,1,1,0,0,0,0,1,0.5,0.5,0.5,0,0.3333,0,0,13,36317,张懿赵杰,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,36317,张懿赵杰,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,6,1.2,5,4,3,1,1,0,1,0,0,0,0,0.6,0.8,0.2,0,0,0,0,13,36317,张懿赵杰,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Isolation,2,1,2,0,0,0,2,1,1,0,0,0,0,0.5,0,1,0,0,0,0,13,36317,张懿赵杰,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,5,0.7143,7,1,1,0,0,0,0,5,1,4,1,0.416667,0.1667,0,0.8333,0.1429,0,0,13,36317,张懿赵杰,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Off-Screen,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,36317,张懿赵杰,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Roll-Man,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,36317,张懿赵杰,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,2,1,2,2,1,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,13,36317,张懿赵杰,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,8,1.3333,6,4,4,0,0,0,0,0,0,0,2,1,1,0,0,0.3333,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Ball-Handler,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Post-Up,0,0,3,2,0,2,1,0,1,0,0,0,0,0,0.6667,0.3333,0,0,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Cut,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Roll-Man,2,0.4,5,3,1,2,0,0,0,1,0,1,1,0.25,0.75,0,0.25,0.2,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,4,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,36317,张懿赵杰,,2026-01-17,,,2010420228,南京天之蓝CBDL,20039,200390010274,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,4,1,4,1,1,0,2,1,1,1,0,1,0,0.5,0.25,0.5,0.25,0,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Isolation,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Post-Up,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,2,0.2222,9,2,0,2,2,1,1,4,0,4,1,0.125,0.25,0.25,0.5,0.1111,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Off-Screen,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Hand-Off,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Cut,4,1.3333,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0.3333,1,0.3333,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Roll-Man,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Put-Backs,6,1.5,4,2,2,0,1,1,0,0,0,0,1,1,0.6667,0.3333,0,0.25,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13,36317,张懿赵杰,,2026-01-15,,,1003320593,广州龙狮(CBDL),20039,200390010279,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,9,1.2857,7,5,4,1,0,0,0,0,0,0,1,0.8,1,0,0,0.1429,1,0.1429,13,36317,张懿赵杰,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Post-Up,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,13,36317,张懿赵杰,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,9,1.2857,7,0,0,0,0,0,0,6,3,3,1,0.75,0,0,1,0.1429,0,0,13,36317,张懿赵杰,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Roll-Man,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Miscellaneous,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-14,,,1003320596,四川锦城(CBDL),20039,200390010283,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,3,1.5,2,0,0,0,0,0,0,1,1,0,1,1.5,0,0,1,0.5,0,0,13,36317,张懿赵杰,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Post-Up,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,13,36317,张懿赵杰,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,3,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0.3333,0,0,13,36317,张懿赵杰,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Cut,2,1,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0,0,13,36317,张懿赵杰,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,P&R-Roll-Man,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,13,36317,张懿赵杰,,2026-01-13,,,1003320597,浙江稠州银行(CBDL),20039,200390010286,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,14,34608,孙陈鹏,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,0,0,4,0,0,0,1,0,1,3,0,3,0,0,0,0.25,0.75,0,0,0,14,34608,孙陈鹏,,2026-01-19,,,2010420235,深圳马可波罗(CBDL),20039,200390010267,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Transition,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.5,0,0,14,34608,孙陈鹏,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
CBDL,2025,2025-26,,,,Spot-Up,6,3,2,0,0,0,0,0,0,2,2,0,0,1.5,0,0,1,0,0,0,14,34608,孙陈鹏,,2026-01-18,,,2010420237,山东高速(CBDL),20039,200390010270,,1003321308,中国U17,
