_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置)
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.573059,0.436073,0.670157,0.221461,0.525773,0.342466,0.32,0.349476,0.209424,0.3375,0.337696,0.232558,1,0.133508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,总和,,,,247.8,14869,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.58277,0.442568,0.709924,0.202703,0.5,0.35473,0.314286,0.334661,0.219124,0.381818,0.346614,0.206897,0.434263,0.275229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,PF,,,大前锋,0.658,9785,,,93.38,65.56,87.58,26.99,93.71,54.8,72.52,79.47,87.09,86.09,24.5,79.3,15.73,40.89,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.545802,0.412214,0.574074,0.282443,0.567568,0.305344,0.325,0.397541,0.180328,0.227273,0.336066,0.292683,0.483607,0.355932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,SF,,,小前锋,0.317,4719,,,86.92,57.62,60.1,56.13,97.35,36.09,74.67,56.29,92.88,99.17,27.48,51.32,8.61,18.87,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.5,0.428571,0.666667,0,0,0.571429,0.25,0.2,0.4,0.5,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,C,,,中锋,0.012,183,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.875,0.75,0.666667,0,0,0.25,1,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,SG,,,得分后卫,0.012,182,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.552632,0.39961,0.639024,0.249513,0.453125,0.350877,0.35,0.34633,0.270642,0.449153,0.31422,0.211679,0.415138,0.254144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,PG,,,控球后卫,1,16664,,,89.4,53.48,76.16,43.54,87.09,52.98,80.3,76.82,79.8,72.35,34.27,77.98,21.85,49.5,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.552632,0.39961,0.639024,0.249513,0.453125,0.350877,0.35,0.34633,0.270642,0.449153,0.31422,0.211679,0.415138,0.254144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,,18,,总和,,,,277.7,16664,,,89.4,53.48,76.16,43.54,87.09,52.98,80.3,76.82,79.8,72.35,34.27,77.98,21.85,49.5,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.553221,0.45098,0.608696,0.229692,0.463415,0.319328,0.359649,0.393092,0.246711,0.493333,0.309211,0.223404,0.444079,0.303704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,C,,,中锋,1,11301,,,89.57,68.54,68.87,37.91,89.07,40.89,82.28,58.44,83.61,62.58,35.6,73.84,12.75,30.79,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.553221,0.45098,0.608696,0.229692,0.463415,0.319328,0.359649,0.393092,0.246711,0.493333,0.309211,0.223404,0.444079,0.303704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,,20,,总和,,,,188.4,11301,,,89.57,68.54,68.87,37.91,89.07,40.89,82.28,58.44,83.61,62.58,35.6,73.84,12.75,30.79,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.540892,0.405204,0.688073,0.297398,0.375,0.297398,0.3375,0.312796,0.21327,0.444444,0.388626,0.231707,1,0.085308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,总和,,,,300,18000,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.523316,0.367876,0.690141,0.326425,0.349206,0.305699,0.338983,0.325658,0.203947,0.419355,0.401316,0.229508,0.394737,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,C,,,中锋,0.704,12678,,,85.77,66.1,80.52,49.06,65.92,38.2,82.02,79.96,82.21,82.77,27.9,72.85,28.46,50.19,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.585526,0.5,0.684211,0.223684,0.470588,0.276316,0.333333,0.279661,0.237288,0.5,0.355932,0.238095,0.40678,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,PF,,,大前锋,0.296,5322,,,95.88,91.95,79.03,16.67,92.7,27.9,81.09,89.89,73.03,69.1,41.39,70.79,23.97,87.83,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.35,0.2,0.5,0.4,0.25,0.4,0.25,0.625,0.25,0.333333,0.25,0.666667,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,总和,,,,9.1,543,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.222222,0.222222,0.5,0.444444,0.25,0.333333,0,0.545455,0.272727,0.333333,0.272727,0.666667,0.454545,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,C,,,中锋,0.794,431,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,1.5,0,0,0,0,1,1,1.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,PF,,,大前锋,0.206,112,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.616412,0.454198,0.689076,0.194656,0.529412,0.351145,0.380435,0.343049,0.224215,0.34,0.32287,0.263889,1,0.121076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,总和,,,,139.6,8378,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.622222,0.405556,0.684932,0.2,0.555556,0.394444,0.394366,0.360248,0.217391,0.4,0.298137,0.229167,0.484472,0.282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,SG,,,得分后卫,0.69,5784,,,97.02,55.79,84.11,26.32,97.35,70.36,89.07,72.02,87.42,83.11,39.4,72.68,8.61,38.58,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.603659,0.560976,0.695652,0.182927,0.466667,0.256098,0.333333,0.298387,0.241935,0.2,0.387097,0.333333,0.370968,0.217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,PG,,,控球后卫,0.31,2594,,,95.53,94.21,85.93,21.03,89.07,20.86,77.98,88.58,84.27,99.5,15.4,40.89,38.41,65.23,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.423077,0.384615,0.6,0.307692,0.25,0.307692,0.25,0.2,0.2,0,0.3,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,PG,,,控球后卫,1,1170,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.423077,0.384615,0.6,0.307692,0.25,0.307692,0.25,0.2,0.2,0,0.3,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,总和,,,,19.5,1170,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.474026,0.376623,0.62069,0.359307,0.39759,0.264069,0.245902,0.324022,0.223464,0.475,0.368715,0.272727,1,0.078212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,,19,,总和,,,,122.4,7346,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.471491,0.368421,0.619048,0.364035,0.39759,0.267544,0.245902,0.325714,0.222857,0.487179,0.365714,0.265625,0.411429,0.194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,,19,,C,,,中锋,0.988,7258,,,71.69,44.54,71.19,79.14,75.99,24.83,46.36,82.28,86.75,62.75,20.7,62.09,23.01,73.01,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.666667,1,0.666667,0,0,0,0,0.25,0.25,0,0.5,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,,19,,PF,,,大前锋,0.012,88,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.557003,0.410423,0.674603,0.299674,0.413043,0.289902,0.359551,0.357798,0.270642,0.457627,0.334862,0.369863,0.394495,0.186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,30230,安恒瑶,,,18,,C,,,中锋,1,20222,,,92.32,77.34,76.78,38.2,84.46,32.21,85.58,68.16,61.61,76.97,47,27.34,28.46,73.41,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.557003,0.410423,0.674603,0.299674,0.413043,0.289902,0.359551,0.357798,0.270642,0.457627,0.334862,0.369863,0.394495,0.186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,30230,安恒瑶,,,18,,总和,,,,337,20222,,,92.32,77.34,76.78,38.2,84.46,32.21,85.58,68.16,61.61,76.97,47,27.34,28.46,73.41,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.504386,0.328947,0.64,0.346491,0.392405,0.324561,0.324324,0.402778,0.277778,0.6,0.316667,0.298246,1,0.094444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,总和,,,,123.3,7396,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.468586,0.335079,0.65625,0.356021,0.367647,0.308901,0.254237,0.398601,0.265734,0.631579,0.335664,0.3125,0.398601,0.210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,PG,,,控球后卫,0.82,6062,,,70.36,34.6,79.3,77.32,68.87,37.75,50.5,55.79,80.46,25.99,27.48,46.52,27.81,66.72,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.689189,0.297297,0.545455,0.297297,0.545455,0.405405,0.6,0.418919,0.324324,0.5,0.243243,0.222222,0.432432,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,SG,,,得分后卫,0.18,1334,,,99.67,26.16,52.81,60.6,97.19,74.83,99.67,47.35,67.88,59.6,57.62,75.17,16.72,28.31,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.542069,0.444138,0.65528,0.314483,0.403509,0.241379,0.342857,0.414587,0.24952,0.569231,0.380038,0.338384,1,0.095969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,,20,,总和,,,,762.9,45776,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.558185,0.449704,0.666667,0.313609,0.408805,0.236686,0.366667,0.427978,0.232687,0.571429,0.390582,0.361702,0.376731,0.272059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,,20,,SG,,,得分后卫,0.696,31838,,,92.88,85.96,74.91,43.63,83.71,15.36,87.08,41.95,74.53,48.69,31.65,30.34,34.08,38.58,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.504587,0.431193,0.62766,0.316514,0.391304,0.252294,0.290909,0.384375,0.2875,0.565217,0.35625,0.280702,0.35625,0.22807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80548,罗巧梅,,,20,,PG,,,控球后卫,0.304,13938,,,80.34,82.21,65.54,44.57,79.4,19.85,68.35,57.87,56.18,49.81,40.82,56.74,43.07,56.55,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.53504,0.444744,0.636364,0.256065,0.4,0.299191,0.333333,0.340764,0.194268,0.42623,0.340764,0.224299,1,0.121019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,总和,,,,200.1,12007,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.492908,0.41844,0.644068,0.283688,0.45,0.297872,0.214286,0.342593,0.240741,0.423077,0.37963,0.195122,0.37963,0.292683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,SG,,,得分后卫,0.374,4491,,,76.49,59.44,77.32,56.79,86.75,32.95,33.61,78.31,84.77,78.81,16.56,81.79,35.43,34.27,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.625,0.435484,0.648148,0.169355,0.52381,0.395161,0.428571,0.339286,0.205357,0.26087,0.294643,0.242424,0.5,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,SF,,,小前锋,0.332,3990,,,97.19,63.25,78.48,16.56,94.54,71.03,95.2,78.81,89.24,97.19,40.07,68.87,6.29,37.75,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.485849,0.490566,0.615385,0.320755,0.264706,0.188679,0.35,0.340426,0.12766,0.75,0.351064,0.242424,0.521277,0.204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,PG,,,控球后卫,0.294,3526,,,75.17,81.62,70.03,67.72,37.58,6.46,80.3,78.81,97.02,8.44,23.18,68.87,4.64,68.71,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.610592,0.47352,0.736842,0.264798,0.423529,0.261682,0.380952,0.308,0.232,0.551724,0.392,0.27551,1,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,,21,,总和,,,,357.9,21472,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.618506,0.477273,0.741497,0.262987,0.432099,0.25974,0.3875,0.3125,0.233333,0.571429,0.395833,0.263158,0.370833,0.134831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,,21,,PG,,,控球后卫,0.946,20302,,,97,90.45,88.58,27.72,87.27,21.35,91.2,84.27,74.53,48.69,29.78,62.73,37.08,86.14,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.423077,0.384615,0.6,0.307692,0.25,0.307692,0.25,0.2,0.2,0,0.3,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80549,王斯瑶,,,21,,SG,,,得分后卫,0.054,1170,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.559006,0.437888,0.695035,0.322981,0.471154,0.23913,0.285714,0.381356,0.20678,0.639344,0.352542,0.288462,1,0.098305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,总和,,,,181.8,10910,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.566138,0.417989,0.683544,0.312169,0.440678,0.269841,0.352941,0.318182,0.181818,0.5625,0.323864,0.298246,0.494318,0.16092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,SG,,,得分后卫,0.604,6588,,,91.06,59.44,83.77,65.23,85.76,25.33,80.79,84.77,92.55,43.38,30.3,49.83,7.12,82.45,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.55303,0.469697,0.709677,0.333333,0.522727,0.19697,0.153846,0.47479,0.243697,0.724138,0.394958,0.276596,0.361345,0.348837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,PG,,,控球后卫,0.394,4303,,,89.57,76.32,87.58,71.69,94.54,7.78,16.06,27.32,84.11,10.26,14.07,58.77,42.22,20.2,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,,20,,SF,,,小前锋,0.002,19,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.449438,0.370787,0.621212,0.292135,0.346154,0.337079,0.233333,0.353571,0.235714,0.515152,0.342857,0.208333,1,0.107143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,总和,,,,193.8,11628,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.441176,0.319328,0.631579,0.294118,0.342857,0.386555,0.23913,0.273196,0.226804,0.454545,0.381443,0.162162,0.391753,0.184211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,SG,,,得分后卫,0.684,7952,,,61.8,53.18,65.92,36.7,64.23,69.66,47.75,90.82,77.53,77.72,34.64,87.83,29.4,73.6,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.456897,0.465517,0.592593,0.293103,0.352941,0.241379,0.214286,0.551282,0.282051,0.636364,0.25641,0.4,0.461538,0.388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,SF,,,小前锋,0.298,3460,,,67.42,89.14,55.06,36.33,67.6,16.67,38.01,8.61,58.24,33.15,75.09,18.91,13.11,8.8,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,1,1,1,0,0,0,0,0.375,0,0,0.25,0,0.75,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32001,王乔睿,,,19,,PG,,,控球后卫,0.019,216,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.434426,0.393443,0.708333,0.393443,0.208333,0.213115,0.230769,0.342857,0.214286,0.466667,0.371429,0.307692,1,0.085714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32001,王乔睿,,,18,,总和,,,,40.5,2432,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.53125,0.479167,0.73913,0.354167,0.235294,0.166667,0.375,0.336207,0.241379,0.428571,0.327586,0.315789,0.431034,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32001,王乔睿,,,18,,SG,,,得分后卫,0.772,1877,,,82.14,99.11,100,87.5,77.68,4.46,86.61,83.93,25,26.79,16.07,12.5,24.11,66.96,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.076923,0.076923,0,0.538462,0.142857,0.384615,0,0.375,0.083333,1,0.583333,0.285714,0.333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32001,王乔睿,,,18,,PG,,,控球后卫,0.228,555,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.494088,0.408784,0.628099,0.278716,0.387879,0.3125,0.275676,0.385772,0.258517,0.542636,0.356713,0.292135,1,0.094188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80550,伍湘琳,,,22,,总和,,,,332.4,19941,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.53442,0.431159,0.621849,0.224638,0.435484,0.344203,0.326316,0.418561,0.227273,0.5,0.344697,0.307692,0.42803,0.309735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80550,伍湘琳,,,22,,PG,,,控球后卫,0.506,10098,,,84.93,62.58,71.69,35.93,84.77,49.17,75,47.35,86.26,59.6,25,47.19,17.38,28.81,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.466102,0.40339,0.621849,0.318644,0.37234,0.277966,0.231707,0.345982,0.290179,0.569231,0.375,0.285714,0.334821,0.146667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80550,伍湘琳,,,22,,SG,,,得分后卫,0.466,9294,,,69.54,55.46,71.69,66.89,69.7,28.15,41.56,76.99,75.5,41.89,18.87,56.46,53.48,84.93,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.357143,0.190476,1,0.428571,0.222222,0.380952,0.125,0.409091,0.363636,0.75,0.272727,0,0.363636,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80550,伍湘琳,,,22,,SF,,,小前锋,0.028,549,,,,,,,,,,,,,,,,,false
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.463,0.36,0.6,0.306,0.385621,0.334,0.257485,0.349866,0.225201,0.47619,0.399464,0.255034,1,0.093834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80550,伍湘琳,,,21,,总和,,,,546.1,32766,,,,,,,,,,,,,,,,,true
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.45584,0.353276,0.596774,0.31339,0.372727,0.333333,0.25641,0.337638,0.236162,0.484375,0.394834,0.242991,0.369004,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80550,伍湘琳,,,21,,SG,,,得分后卫,0.712,23342,,,66.67,62.55,56.18,43.63,73.03,46.63,54.68,75.47,73.6,71.72,29.78,69.29,37.83,56.55,false
