_group,_leagueName,_seasonYear,底角三分命中率,有效命中率,赛事名称,赛事ID,赛季,赛季ID,年份,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手有效命中率百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队有效命中率百分位,球队ID,球队中距离命中率百分位排名,球队名称,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.535222,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.426136,726.5,0,0,0.378896,64.24,0,0.265789,62.09,0,0,0,0.338379,26.66,0,0.243099,84.11,0,0.418522,20.53,0.512821,57.28,0,0.261702,47.02,0,0,0.269525,0,0.421899,0,0.308576,0.647913,,0,84.93,1003320449,82.78,北京大学,50.83,59.93,37.25,78.48,73.18,0.317618
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.411765,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.384615,16.2,0,0,0.481481,,0,0.333333,,0,0,0,0.222222,,0,0.296296,,0,0.481481,,0.625,,0,0.307692,,0,0,0.382353,0,0.5,0,0.117647,0.529412,972,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.568182,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.625,12.2,0,0,0.5,,0,0.285714,,0,0,0,0.466667,,0,0.133333,,0,0.4,,0.5,,0,0.5,,0,0,0.363636,0,0.363636,0,0.272727,0.75,732,0,,1003320449,,北京大学,,,,,,0.166667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.428571,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,2.3,0,0,0.25,,0,0,,0,0,0,0.25,,0,0.25,,0,0.5,,1,,0,0,,0,0,0.285714,0,0.571429,0,0.142857,0.5,138,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1.25,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.5,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0.5,0,0.5,1,30,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.375,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.333333,7.9,0,0,0.291667,,0,0.166667,,0,0,0,0.5,,0,0.166667,,0,0.333333,,0.5,,0,0.25,,0,0,0.25,0,0.25,0,0.5,0.666667,472,0,,1003320449,,北京大学,,,,,,0.166667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.6,0,0,1,,0,1,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0,0,1,0,0,1,37,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.75,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,3,0,0,0.214286,,0,0,,0,0,0,0.285714,,0,0,,0,0.714286,,0,,0,0.2,,0,0,0.333333,0,0.333333,0,0.333333,0.5,179,0,,1003320449,,北京大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.727273,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.666667,6.4,0,0,0.291667,,0,0.2,,0,0,0,0.416667,,0,0.25,,0,0.333333,,0.333333,,0,0.25,,0,0,0.272727,0,0.454545,0,0.272727,0.6,381,0,,1003320449,,北京大学,,,,,,0.666667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.9375,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,5,0,0,0.5,,0,0,,0,0,0,0.625,,0,0.125,,0,0.25,,1,,0,1,,0,0,0.125,0,0.75,0,0.125,0.833333,299,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.916667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.5,0,0,0,,0,0,,0,0,0,0,,0,0.5,,0,0.5,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,1,152,0,,1003320449,,北京大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.833333,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,2.6,0,0,0.642857,,0,0,,0,0,0,0.285714,,0,0.428571,,0,0.285714,,1,,0,0.5,,0,0,0.666667,0,0,0,0.333333,0,157,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.363636,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,5.1,0,0,0.611111,,0,0.333333,,0,0,0,0.333333,,0,0.333333,,0,0.333333,,1,,0,0.333333,,0,0,0.272727,0,0.181818,0,0.545455,0.5,304,0,,1003320449,,北京大学,,,,,,0.333333
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.4,0,0,0.142857,,0,0,,0,0,0,0.428571,,0,0.285714,,0,0.285714,,0.5,,0,0,,0,0,0.25,0,0.5,0,0.25,1,202,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.5,0,0,0.25,,0,0.5,,0,0,0,0.5,,0,0.25,,0,0.25,,0,,0,0,,0,0,0,0,1,0,0,0.666667,88,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.833333,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,6.9,0,0,0.5,,0,1,,0,0,0,0.125,,0,0.125,,0,0.75,,0,,0,0.333333,,0,0,0.2,0,0.333333,0,0.466667,0.4,415,0,,1003320449,,北京大学,,,,,,0.714286
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.55,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,5,0,0,0.125,,0,0,,0,0,0,0.5,,0,0.5,,0,0,,0.25,,0,0,,0,0,0.4,0,0.3,0,0.3,0.666667,299,0,,1003320449,,北京大学,,,,,,0.333333
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.428571,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,3.7,0,0,0.357143,,0,0,,0,0,0,0.285714,,0,0.285714,,0,0.428571,,0.5,,0,0.333333,,0,0,0.285714,0,0.571429,0,0.142857,0.5,224,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.3,0,0,1,,0,0,,0,0,0,0,,0,1,,0,0,,1,,0,0,,0,0,0,0,0.666667,0,0.333333,1,77,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.7,0,0,0.75,,0,0,,0,0,0,0,,0,0.5,,0,0.5,,0,,0,1,,0,0,0.166667,0,0.666667,0,0.166667,0.75,101,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.6,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.9,0,0,0.5,,0,1,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,0,,0,0,0,0,0.6,0,0.4,1,111,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,0.8,0,0,0,,0,0,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,1,0,0,0,0,0,47,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.7,0,0,0.75,,0,0,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,1,,0,0,0,0,0,0,0,0,43,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.916667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.4,0,0,0.833333,,0,1,,0,0,0,0.166667,,0,0.333333,,0,0.5,,0.5,,0,0.666667,,0,0,0.166667,0,0.166667,0,0.666667,1,202,0,,1003320449,,北京大学,,,,,,0.75
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.25,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.6,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0.5,0,0.5,0,0,0.5,158,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.4,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,26,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,2.7,0,0,0.416667,,0,0,,0,0,0,0.166667,,0,0.333333,,0,0.5,,0.5,,0,0.333333,,0,0,0.333333,0,0.333333,0,0.333333,1,163,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,1.2,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0.5,0,0,0,0.5,0,71,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.875,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3,0,0,0,,0,0,,0,0,0,0,,0,0.25,,0,0.75,,0,,0,0,,0,0,0,0,0.75,0,0.25,0.666667,182,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.53125,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.55,25.4,0,0,0.46875,29.64,0,0.227273,73.68,0,0,0,0.458333,7.95,0,0.3125,70.53,0,0.229167,87.42,0.866667,2.98,0,0.272727,41.72,0,0,0.416667,0,0.375,0,0.208333,0.722222,1526,0,84.44,1003320449,97.35,北京大学,88.25,45.86,8.77,89.4,6.95,0.1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.5,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,0,89,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.4,0,0,0.75,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0.5,,0,0,0,0,1,0,0,1,84,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.5,0,0,0.333333,,0,1,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0,,0,0,0.5,0,0.5,0,0,1,90,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.7,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.8,0,0,0.625,,0,0.333333,,0,0,0,0.75,,0,0,,0,0.25,,0,,0,1,,0,0,0.2,0,0.4,0,0.4,1,168,0,,1003320449,,北京大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.2,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.7,0,0,0.333333,,0,0,,0,0,0,0.166667,,0,0.5,,0,0.333333,,0.666667,,0,0,,0,0,0.8,0,0.2,0,0,1,164,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.8,0,0,1,,0,1,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,1,0,48,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,2.6,0,0,0.285714,,0,0.4,,0,0,0,0.714286,,0,0,,0,0.285714,,0,,0,0,,0,0,1,0,0,0,0,0,153,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.538462,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.142857,10,0,0,0.375,,0,0.333333,,0,0,0,0.3,,0,0.05,,0,0.65,,1,,0,0.230769,,0,0,0.538462,0,0.461538,0,0,1,600,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.5,0,0,1.1,,0,0,,0,0,0,0.2,,0,0.2,,0,0.6,,1,,0,1,,0,0,0,0,0.615385,0,0.384615,0.625,270,0,,1003320449,,北京大学,,,,,,0.2
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.611111,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.6,0,0,0.25,,0,0,,0,0,0,0.25,,0,0.25,,0,0.5,,1,,0,0,,0,0,0.333333,0,0.555556,0,0.111111,0.8,215,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.555556,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.3,0,0,0.357143,,0,0.333333,,0,0,0,0.428571,,0,0,,0,0.571429,,0,,0,0.25,,0,0,0.111111,0,0.777778,0,0.111111,0.714286,259,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.4,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,2.3,0,0,0,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0,,0,0,0.4,0,0.4,0,0.2,0,140,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.9,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,56,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.4,0,0,0,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0,,0,0,0,0,1,0,0,1,85,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,3,0,0,0,,0,0,,0,0,0,0.333333,,0,0.333333,,0,0.333333,,0,,0,0,,0,0,0.333333,0,0.666667,0,0,1,178,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.4,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.75,8.9,0,0,0.423077,,0,0.571429,,0,0,0,0.538462,,0,0.076923,,0,0.384615,,0,,0,0.2,,0,0,0.266667,0,0.466667,0,0.266667,0.428571,534,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.444444,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,5.9,0,0,0.25,,0,0,,0,0,0,0.166667,,0,0.166667,,0,0.666667,,0,,0,0.25,,0,0,0.222222,0,0.555556,0,0.222222,0.6,351,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.333333,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.5,0,0,0,,0,0,,0,0,0,0,,0,0.333333,,0,0.666667,,0,,0,0,,0,0,0.333333,0,0.333333,0,0.333333,1,152,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.625,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.6,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0.25,0,0.75,1,97,0,,1003320449,,北京大学,,,,,,0.333333
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,4.2,0,0,0.5,,0,0,,0,0,0,0.4,,0,0.4,,0,0.2,,0.5,,0,1,,0,0,0,0,0.545455,0,0.454545,0.666667,251,0,,1003320449,,北京大学,,,,,,0.2
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1.166667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.6,0,0,0.75,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0.5,,0,0,0,0,0.666667,0,0.333333,1,95,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,1.1,0,0,0,,0,0,,0,0,0,0,,0,0.333333,,0,0.666667,,0,,0,0,,0,0,0.5,0,0.5,0,0,1,65,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.555556,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.666667,5.8,0,0,0.1875,,0,0,,0,0,0,0.25,,0,0.125,,0,0.625,,0,,0,0.2,,0,0,0.333333,0,0.444444,0,0.222222,0.75,347,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.529851,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.285714,37.5,0,0,0.482143,25.66,0,0.285714,56.46,0,0,0,0.25,56.46,0,0.339286,63.74,0,0.410714,23.01,0.578947,38.58,0,0.347826,20.53,0,0,0.104478,0,0.537313,0,0.358209,0.638889,2252,0,84.27,1003320449,43.54,北京大学,3.48,91.56,56.29,76.16,65.4,0.291667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.75,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2,0,0,0.25,,0,0,,0,0,0,0.5,,0,0.166667,,0,0.333333,,0,,0,0.5,,0,0,0.5,0,0,0,0.5,0,119,0,,1003320449,,北京大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.6,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0.333333,0,0.333333,0,0.333333,0,38,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.46875,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,9.8,0,0,0.40625,,0,0.5,,0,0,0,0.375,,0,0.1875,,0,0.4375,,0.666667,,0,0.142857,,0,0,0.5,0,0.1875,0,0.3125,0.666667,585,0,,1003320449,,北京大学,,,,,,0.2
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.617647,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.625,10.3,0,0,0.5,,0,0.428571,,0,0,0,0.5,,0,0.071429,,0,0.428571,,1,,0,0.333333,,0,0,0.470588,0,0.117647,0,0.411765,0.5,617,0,,1003320449,,北京大学,,,,,,0.428571
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5625,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.333333,3.9,0,0,0.625,,0,0.5,,0,0,0,0.25,,0,0.125,,0,0.625,,1,,0,0.4,,0,0,0.375,0,0.375,0,0.25,0.666667,231,0,,1003320449,,北京大学,,,,,,0.5
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.4,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,0,,0,0,,0,0,0,0,0,0,1,0,24,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.4,0,0,0,,0,0,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0,0,1,0,0,1,26,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,1.8,0,0,0,,0,0,,0,0,0,0.333333,,0,0,,0,0.666667,,0,,0,0,,0,0,0.5,0,0.5,0,0,0.5,109,0,,1003320449,,北京大学,,,,,,0
