_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,19,,1003320453,清华大学,SF,178,65,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,20035,333.9,false,65.75,0.452381,56.85,18,68.49,0.611111,88.36,26,70.55,0.346154,100,103,70.55,0.300971,36.3,5,86.3,0.8,95.21,14,76.71,0.357143,100,82,66.44,0.280488,71.23,13,83.56,0.461538,80.82,6,59.59,0.166667,
CUBAL一级联赛,CUBAL一级联赛,40730,李嘉琳,Li Jialin,2,18,,1003320453,清华大学,SG,178,65,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,11,8570,142.8,false,99.13,0.62766,0,2,0,0,15.65,8,96.52,0.5,66.96,37,98.26,0.459459,11.3,2,100,1,55.65,5,93.04,0.6,69.57,32,97.39,0.4375,11.3,4,93.04,0.5,61.74,4,74.78,0.5,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,22560,376,false,88.41,0.508982,98.55,74,84.06,0.662162,92.03,38,71.74,0.394737,86.23,55,63.77,0.254545,94.93,38,39.86,0.552632,89.86,11,52.9,0.181818,78.99,38,72.46,0.289474,89.86,27,75.36,0.407407,92.03,9,68.12,0.333333,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,17598,293.3,false,88.7,0.510753,92.17,52,76.52,0.673077,58.26,19,85.22,0.421053,47.83,22,22.61,0.136364,93.04,42,39.13,0.52381,67.83,6,74.78,0.333333,45.22,16,15.65,0.0625,66.09,17,68.7,0.352941,24.35,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,480,8,false,,0.4,,2,,1,,2,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,0,,2,,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,PG,170,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,458.1,false,90.32,0.538168,93.55,40,60.48,0.55,67.74,17,54.84,0.294118,97.58,74,90.32,0.391892,83.87,21,67.74,0.666667,90.32,9,83.87,0.444444,96.77,61,90.32,0.393443,58.06,11,38.71,0.181818,49.19,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,21,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,23083,384.7,false,98.02,0.542683,74.26,22,45.54,0.5,16.83,8,36.63,0.25,82.18,52,97.03,0.403846,58.42,13,49.5,0.538462,49.5,3,80.2,0.333333,86.14,49,92.08,0.408163,16.83,6,58.42,0.333333,29.7,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,20,,1003320453,清华大学,PG,170,67,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,2129,35.5,false,94.12,0.538462,29.41,4,82.35,0.75,17.65,3,58.82,0.333333,11.76,6,76.47,0.333333,0,0,0,0,0,0,0,0,29.41,6,82.35,0.333333,41.18,3,58.82,0.333333,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,6,20,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,20257,337.6,false,57.82,0.421053,64.63,27,95.92,0.777778,78.91,26,69.39,0.346154,96.6,61,52.38,0.196721,77.55,20,76.87,0.7,94.56,10,69.39,0.1,96.6,49,64.63,0.22449,83.67,21,47.62,0.285714,49.66,2,87.07,0.5,
CUBAL一级联赛,CUBAL一级联赛,92064,刘琦,Liu Qi,3,19,,1003320453,清华大学,PF,189,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,16,14428,240.5,false,70.09,0.466102,68.22,24,68.22,0.625,45.79,15,98.13,0.533333,71.03,20,49.53,0.15,49.53,10,91.59,0.9,74.77,4,0,0,71.96,16,60.75,0.1875,50.47,12,89.72,0.5,42.99,3,93.46,0.666667,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,21,,1003320453,清华大学,SF,181,75,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,12,13288,221.5,false,98.63,0.602273,95.89,57,86.99,0.701754,58.22,13,58.22,0.307692,50.68,18,80.82,0.333333,98.63,52,53.42,0.615385,86.99,9,62.33,0.222222,26.71,6,96.58,0.5,45.89,6,61.64,0.333333,23.97,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,20,,1003320453,清华大学,SF,181,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,17549,292.5,false,73.55,0.456731,95.87,60,67.77,0.633333,46.28,16,14.05,0.125,57.85,28,34.71,0.178571,94.21,42,36.36,0.52381,85.12,11,66.94,0.272727,49.59,17,24.79,0.117647,61.98,15,19.01,0.133333,23.97,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,32066,袁欣悦,Yuan Xinyue,7,19,,1003320453,清华大学,PF,181,74,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,1148,19.1,false,,0.25,,4,,0.5,,3,,0,,1,,0,,4,,0.5,,0,,0,,1,,0,,3,,0,,0,,0,
CUBAL一级联赛,CUBAL一级联赛,92943,梁悦洁,Liang Yuejie,8,20,,1003320453,清华大学,PF,180,80,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,35,0.6,false,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,21,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,21196,353.3,false,75.81,0.456081,88.71,38,85.48,0.684211,89.52,33,38.71,0.212121,98.39,77,75,0.298701,86.29,24,58.06,0.625,77.42,6,59.68,0.166667,98.39,66,80.65,0.333333,87.1,24,24.19,0.083333,87.1,8,87.1,0.5,
CUBAL一级联赛,CUBAL一级联赛,80514,王镘淋,Wang Manlin,9,20,,1003320453,清华大学,PG,175,72,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,18,24301,405,false,92.08,0.496429,83.17,27,82.18,0.740741,83.17,34,24.75,0.176471,93.07,79,90.1,0.367089,72.28,19,20.79,0.421053,83.17,9,0,0,95.05,70,94.06,0.414286,75.25,22,38.61,0.227273,90.1,12,41.58,0.083333,
CUBAL一级联赛,CUBAL一级联赛,89060,魏亦冉,Wei Yiran,10,18,,1003320453,清华大学,PF,185,79,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,6877,114.6,false,92.52,0.571429,36.73,13,95.24,0.769231,33.33,7,52.38,0.285714,24.49,1,0,0,30.61,4,82.99,0.75,0,0,0,0,24.49,1,0,0,36.73,5,74.83,0.4,49.66,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,21,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,15874,264.6,false,82.99,0.514286,99.32,75,64.63,0.56,78.91,26,69.39,0.346154,36.73,4,94.56,0.5,97.96,49,68.03,0.653061,49.66,1,100,1,40.82,3,83.67,0.333333,89.12,25,67.35,0.36,24.49,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,20,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,17,25014,416.9,false,96.26,0.540323,97.2,88,66.36,0.613636,75.7,36,77.57,0.361111,0,0,0,0,98.13,73,63.55,0.657534,0,0,0,0,0,0,0,0,80.37,27,57.01,0.296296,77.57,9,91.59,0.555556,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,19,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,2051,34.2,false,45,0.375,30,6,10,0.333333,55,10,65,0.4,0,0,0,0,45,3,20,0.333333,0,0,0,0,0,0,0,0,65,9,70,0.444444,45,1,0,0,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,23,,1003320453,清华大学,SF,175,68,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,5718,95.3,false,83.56,0.5,26.71,6,97.26,0.833333,42.47,8,42.47,0.25,69.18,27,80.82,0.333333,11.64,2,100,1,77.4,7,68.49,0.285714,65.75,20,84.25,0.35,45.89,6,30.14,0.166667,49.32,2,86.99,0.5,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,22,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,15,17298,288.3,false,93.91,0.563107,89.57,41,80,0.682927,46.09,16,78.26,0.375,79.13,46,86.09,0.347826,67.83,18,49.57,0.611111,79.13,9,74.78,0.333333,77.39,37,87.83,0.351351,62.61,16,76.52,0.375,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,21,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,2004,33.4,false,0,0.090909,44.44,5,16.67,0.2,0,1,0,0,22.22,5,0,0,16.67,2,100,1,0,0,0,0,33.33,5,0,0,0,1,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,88706,孙楷文,Sun Kaiwen,15,18,,1003320453,清华大学,C,197,96,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,15379,256.3,false,92.31,0.596154,93.71,59,88.81,0.728814,93.01,40,80.42,0.4,69.93,5,95.1,0.4,97.2,42,62.94,0.642857,83.92,2,0,0,62.24,3,98.6,0.666667,83.92,20,64.34,0.35,91.61,13,77.62,0.384615,
CUBAL一级联赛,CUBAL一级联赛,32067,高梓悦,Gao Ziyue,16,21,,1003320453,清华大学,C,199,80,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,16,21702,361.7,false,94.41,0.610465,97.9,83,97.9,0.807229,100,68,89.51,0.470588,89.51,21,75.52,0.190476,93.71,36,70.63,0.694444,93.71,4,0,0,88.81,14,79.72,0.214286,99.3,47,77.62,0.425532,95.8,17,93.01,0.529412,
CUBAL一级联赛,CUBAL一级联赛,32067,高梓悦,Gao Ziyue,16,20,,1003320453,清华大学,C,199,80,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,19820,330.3,false,55.17,0.447205,99.14,88,57.76,0.602273,94.83,71,38.79,0.267606,57.76,2,0,0,87.07,31,58.62,0.612903,0,0,0,0,57.76,2,0,0,98.28,61,37.93,0.278689,74.14,10,43.97,0.2,
CUBAL一级联赛,CUBAL一级联赛,32067,高梓悦,Gao Ziyue,16,19,,1003320453,清华大学,C,199,80,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,828,13.8,false,,0.166667,,2,,0.5,,4,,0,,0,,0,,2,,1,,0,,0,,0,,0,,2,,0,,2,,0,
CUBAL一级联赛,CUBAL一级联赛,32073,金耘可,Jin Yunke,99,21,,1003320453,清华大学,C,183,84,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,1,704,11.7,false,,0.25,,1,,0,,2,,0.5,,1,,0,,2,,0,,0,,0,,1,,0,,1,,1,,1,,0,
CUBAL一级联赛,CUBAL一级联赛,93035,李瑜婧,Li Yujing,21,21,,1003320453,清华大学,SF,177,74,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,16592,276.5,false,80.14,0.479167,67.81,25,60.27,0.56,89.73,27,87.67,0.481481,55.48,20,58.22,0.25,45.89,7,47.26,0.571429,77.4,7,54.11,0.142857,49.32,12,80.82,0.333333,84.93,19,84.25,0.473684,49.32,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,93035,李瑜婧,Li Yujing,21,20,,1003320453,清华大学,SF,177,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,6421,107,false,83.47,0.47619,33.06,11,46.28,0.545455,28.1,10,86.78,0.4,0,0,0,0,28.1,6,88.43,0.833333,0,0,0,0,0,0,0,0,29.75,8,78.51,0.375,36.36,2,86.78,0.5,
undefined,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,郑梓怡